strategy,n,R2_oos,RMSE_pred,MAE_pred,RRMSE,MASE,RMSE_bench,MAE_bench
CAPM,300,-0.003773096611441318,0.04429465157215483,0.0337410913021197,1.0018847721227433,0.7195095280856496,0.044211323302484715,0.03373334818483855
FF3,300,-0.00615246714049178,0.04434711910988376,0.03393341389632469,1.0030715164635529,0.7236106977175858,0.044211323302484715,0.03373334818483855
dual_0,300,-0.015257791883868554,0.044547330059081416,0.0338781073704126,1.0076000158216893,0.7224313175960969,0.044211323302484715,0.03373334818483855
dual_0.05,300,-0.007488043707869929,0.0443765427473559,0.03371051238534733,1.0037370391232305,0.7188574501258926,0.044211323302484715,0.03373334818483855
dual_0.1,300,-0.0005827160045388524,0.04422420274932811,0.03363378129529629,1.0002913155698887,0.7172212033934506,0.044211323302484715,0.03373334818483855
dual_0.15,300,-0.006331924281566925,0.044351073804940896,0.03373042040217101,1.0031609662868501,0.7192819772302969,0.044211323302484715,0.03373334818483855
dual_0.2,300,-0.007911990448058681,0.044385878496814135,0.033786662135538714,1.0039482010781526,0.7204813001173896,0.044211323302484715,0.03373334818483855
dual_pca_0,300,0.0014726212879540013,0.04417875804106138,0.03363121187575678,0.9992634180795601,0.7171664119872163,0.044211323302484715,0.03373334818483855
dual_pca_0.05,300,0.0023927239833873015,0.044158398878338265,0.033640764197855486,0.9988029215098505,0.717370109807889,0.044211323302484715,0.03373334818483855
dual_pca_0.1,300,0.0019593367717013477,0.0441679896300266,0.033691607063664135,0.9990198512683812,0.7184543049234811,0.044211323302484715,0.03373334818483855
dual_pca_0.15,300,-0.00516296649118031,0.04432530715855813,0.03377872344147789,1.0025781597916346,0.7203120119943063,0.044211323302484715,0.03373334818483855
dual_pca_0.2,300,0.0004223969878999201,0.04420198495136069,0.033784232381580945,0.9997887791989366,0.7204294870000287,0.044211323302484715,0.03373334818483855
dual_pca_shap_0,300,0.015736957707264132,0.04386206793694164,0.03341107983572498,0.9921003186637608,0.712472221783894,0.044211323302484715,0.03373334818483855
dual_pca_shap_0.05,300,0.007812818327639026,0.04403827712664363,0.03365115815335679,0.9960859308675938,0.717591754980854,0.044211323302484715,0.03373334818483855
dual_pca_shap_0.1,300,0.005595808021596649,0.04408745072880106,0.033363272144429384,0.9971981708659534,0.711452750033708,0.044211323302484715,0.03373334818483855
dual_pca_shap_0.15,300,0.006752280836304525,0.044061806845162026,0.03355822690932299,0.9966181410970278,0.7156100492043437,0.044211323302484715,0.03373334818483855
dual_pca_shap_0.2,300,0.0035066116634140387,0.04413373925750204,0.033619613764673296,0.9982451544268001,0.7169190888832407,0.044211323302484715,0.03373334818483855
dual_pls_0,300,-0.007274327475513376,0.044371835748306165,0.03385553804909078,1.0036305732068516,0.7219500396911211,0.044211323302484715,0.03373334818483855
dual_pls_0.05,300,0.006186869572002318,0.04407434626356456,0.03353223947124942,0.9969017656860667,0.7150558819091296,0.044211323302484715,0.03373334818483855
dual_pls_0.1,300,0.0039782727648867144,0.04412329331170917,0.03345539209130681,0.9980088813407991,0.7134171553610748,0.044211323302484715,0.03373334818483855
dual_pls_0.15,300,0.003903745826601801,0.04412494403496005,0.033652761202335006,0.9980462184555373,0.7176259390860297,0.044211323302484715,0.03373334818483855
dual_pls_0.2,300,-0.004012033342664312,0.04429992317663423,0.0337950137309308,1.0020040086460054,0.7206593931258675,0.044211323302484715,0.03373334818483855
dual_pls_shap_0,300,-0.0022446361369821144,0.0442609146564215,0.03388460951902551,1.0011216889754122,0.7225699722068245,0.044211323302484715,0.03373334818483855
dual_pls_shap_0.05,300,0.016328409963154655,0.043848887406774735,0.033322415971142376,0.9918021929986065,0.7105815154403184,0.044211323302484715,0.03373334818483855
dual_pls_shap_0.1,300,0.021227410715603745,0.04373956033789526,0.03315648741131028,0.9893293633994678,0.707043183537781,0.044211323302484715,0.03373334818483855
dual_pls_shap_0.15,300,-0.005374176487724425,0.044329963844359534,0.033866263097322574,1.0026834876907689,0.7221787452277281,0.044211323302484715,0.03373334818483855
dual_pls_shap_0.2,300,0.008756133512301645,0.04401733760287159,0.03382587823385597,0.9956123073203235,0.7213175610474514,0.044211323302484715,0.03373334818483855
past,300,-0.007762006203460237,0.04438257591176834,0.033688596649163786,1.0038735010963584,0.7183901095512243,0.044211323302484715,0.03373334818483855
past_pca,300,-0.0015215028350115123,0.04424494434558957,0.0338344459682842,1.0007604622660766,0.7215002630976021,0.044211323302484715,0.03373334818483855
past_pca_shap,300,0.004096353696698474,0.04412067776936015,0.03342070074936716,0.9979497213303391,0.7126773822801108,0.044211323302484715,0.03373334818483855
past_pls,300,0.002108555301580828,0.044164687696003645,0.03313989399179247,0.9989451660118382,0.7066893383304732,0.044211323302484715,0.03373334818483855
past_pls_shap,300,0.01532839449595158,0.043871170467095995,0.03317724782068267,0.9923062055152373,0.7074858874271318,0.044211323302484715,0.03373334818483855
